doc_id,LEXWL_wl_2,LEXWL_wl_3,LEXWL_wl_5,LEXWL_wl_6,LEXWL_wl_7,LEXWL_wl_4,LEXWL_wl_8,LEXWL_wl_1,LEXWL_wl_9,LEXWL_wl_10,LEXWL_wl_11,LEXWL_wl_12,LEXWL_wl_13,LEXWL_wl_14,LEXWL_wl_20,LEXWL_wl_15,LEXWL_wl_16,LEXWL_wl_17,LEXWL_wl_19,LEXWL_wl_18
68781,26.1989342806,14.1207815275,6.74955595027,8.2593250444,7.72646536412,5.15097690941,7.10479573712,4.88454706927,6.03907637655,4.61811722913,2.66429840142,1.59857904085,1.15452930728,0.88809946714,1.243339254,0.621669626998,0.088809946714,0.44404973357,0.266429840142,0.177619893428
68783,24.8972401644,15.3846153846,8.69054609513,8.33822665884,8.80798590722,6.81150910159,6.75278919554,6.2243100411,4.873752202,2.58367586612,1.76159718144,1.17439812096,0.587199060482,0.293599530241,1.7028772754,0.234879624193,0.64591896653,0.117439812096,0.117439812096,0
68785,24.3013365735,12.5151883354,7.77642770352,7.77642770352,5.95382746051,6.92588092345,8.14094775213,7.29040097205,5.83232077764,3.15917375456,0.97205346294,0.97205346294,1.94410692588,0.729040097205,2.91616038882,0.729040097205,0,0.364520048603,0.97205346294,0.729040097205
68787,25.3683971888,13.7194891559,8.04050479861,7.42839870022,6.91075341948,6.80873573642,6.78984357289,7.57197914305,4.86284289277,4.25073679438,2.76581274088,1.74185747752,1.03906899418,0.717902214162,0.72923751228,0.411849164966,0.366507972493,0.166251039069,0.120909846596,0.188921635306
68793,26.8433571186,12.4023105674,11.1450900442,9.31022765885,7.57730207271,9.48012232416,7.13557594292,5.26673462453,4.21338769963,2.48046211349,1.29119945634,0.849473326538,0.611620795107,0.4417261298,0.169894665308,0.169894665308,0.101936799185,0.373768263677,0.0339789330615,0.101936799185
68795,27.345844504,12.4218051832,10.2770330652,6.43431635389,8.3109919571,9.56210902592,6.34495084897,5.98748882931,4.55764075067,2.50223413762,2.59159964254,1.69794459339,0.625558534406,0.35746201966,0.0893655049151,0.268096514745,0.0893655049151,0.536193029491,0,0
68797,25.9409969481,11.6480162767,8.44354018311,6.81586978637,9.66429298067,5.9003051882,6.71414038657,7.32451678535,4.42522889115,3.76398779247,2.8484231943,1.16988809766,1.06815869786,0.610376398779,1.62767039674,0.457782299084,0.406917599186,0.406917599186,0.457782299084,0.30518819939
68799,25.4750175932,12.3856439127,9.35960591133,10.3448275862,7.45953553835,8.58550316678,5.77058409571,8.72624912034,3.6593947924,2.67417311752,1.19634060521,1.61857846587,0.562983814215,0.211118930331,0.774102744546,0.492610837438,0.211118930331,0.140745953554,0.0703729767769,0.281491907108
68801,26.1437908497,15.0326797386,4.57516339869,7.8431372549,6.53594771242,6.53594771242,9.15032679739,9.15032679739,4.57516339869,3.26797385621,1.30718954248,1.30718954248,0.653594771242,0.653594771242,0.653594771242,0.653594771242,1.30718954248,0,0,0.653594771242
68803,25.4503641242,14.2200076658,9.62054426984,8.54733614412,7.20582598697,6.70755078574,6.32426216941,6.43924875431,5.32771176696,3.48792640859,2.4530471445,1.53315446531,0.996550402453,0.766577232656,0.114986584898,0.421617477961,0.153315446531,0.153315446531,0.0766577232656,0
68805,25.5920344456,14.6932185145,8.58449946179,6.35091496233,8.58449946179,5.81270182992,6.53928955867,7.26587728741,5.16684607104,4.5748116254,2.9601722282,1.66846071044,0.888051668461,0.37674919268,0.29601722282,0.37674919268,0.10764262648,0.10764262648,0.02691065662,0.02691065662
68807,26.6993693062,16.6783461808,7.07778556412,7.84863349685,7.07778556412,5.74632095305,6.09670637701,4.62508759636,6.2368605466,3.57393132446,1.54169586545,1.19131044149,0.770847932726,2.31254379818,0.560616678346,1.12123335669,0.21023125438,0.42046250876,0.0700770847933,0.140154169587
68809,23.8715277778,16.4930555556,7.37847222222,8.94097222222,5.90277777778,6.68402777778,6.42361111111,5.38194444444,6.25,4.34027777778,2.69097222222,1.38888888889,1.21527777778,0.78125,0.434027777778,1.04166666667,0.260416666667,0.260416666667,0.0868055555556,0.173611111111
68811,25.5164712451,15.9687325516,8.48687883864,7.70519262982,8.71021775544,4.85762144054,6.58849804578,5.30429927415,5.47180346175,3.90843104411,2.12171970966,1.34003350084,0.893355667225,1.61920714685,0.614182021217,0.670016750419,0,0.111669458403,0.0558347292016,0.0558347292016
68813,28.885400314,12.2448979592,6.90737833595,5.18053375196,7.84929356358,7.53532182104,7.06436420722,5.65149136578,4.86656200942,3.61067503925,6.12244897959,1.41287284144,1.0989010989,1.25588697017,0.156985871272,0.156985871272,0,0,0,0
68815,25.5961844197,15.1033386328,7.94912559618,6.83624801272,5.88235294118,6.35930047695,7.94912559618,6.20031796502,6.0413354531,3.81558028617,3.02066772655,1.90779014308,1.58982511924,0.953895071542,0.317965023847,0.158982511924,0.317965023847,0,0,0
68817,28.2780410742,15.4818325434,6.00315955766,6.00315955766,6.47709320695,6.79304897314,7.89889415482,4.2654028436,6.63507109005,4.10742496051,2.68562401264,1.73775671406,1.89573459716,0.789889415482,0.631911532385,0,0,0.157977883096,0.157977883096,0
68819,27.5808936826,15.562403698,8.78274268105,6.62557781202,7.85824345146,7.39599383667,6.16332819723,4.46841294299,3.23574730354,3.38983050847,4.0061633282,1.69491525424,1.38674884438,0.616332819723,0.308166409861,0.308166409861,0.154083204931,0.462249614792,0,0
68821,26.3650546022,16.5366614665,9.67238689548,6.24024960998,4.83619344774,7.48829953198,4.36817472699,6.24024960998,6.24024960998,4.36817472699,2.49609984399,1.09204368175,0.624024960998,1.5600624025,0.468018720749,0.468018720749,0.312012480499,0.312012480499,0.312012480499,0
68823,28.3018867925,12.4528301887,6.03773584906,7.54716981132,9.05660377358,7.92452830189,6.79245283019,5.28301886792,6.41509433962,4.52830188679,3.01886792453,1.1320754717,0,0.377358490566,0,0.377358490566,0.754716981132,0,0,0
68825,25.8039816233,15.4670750383,11.7151607963,8.03981623277,5.81929555896,10.5666156202,5.13016845329,7.12098009188,3.52220520674,3.06278713629,0.995405819296,0.535987748851,0.842266462481,0.306278713629,0.535987748851,0.229709035222,0.153139356815,0.153139356815,0,0
