doc_id,FUNC1_el,FUNC1_de,FUNC1_que,FUNC1_y,FUNC1_a,FUNC1_en,FUNC1_ser,FUNC1_uno,FUNC1_se,FUNC1_su,FUNC1_no,FUNC1_haber,FUNC1_por,FUNC1_con,FUNC1_lo,FUNC1_para,FUNC1_este,FUNC1_como,FUNC1_más,FUNC1_estar,FUNC1_me,FUNC1_le,FUNC1_todo,FUNC1_ese,FUNC1_o,FUNC1_pero,FUNC1_tener,FUNC1_mi,FUNC1_si,FUNC1_sin,FUNC1_otro,FUNC1_ya,FUNC1_cuando,FUNC1_porque,FUNC1_nos,FUNC1_entre,FUNC1_hasta,FUNC1_nuestro,FUNC1_ni,FUNC1_qué,FUNC1_sobre,FUNC1_desde,FUNC1_también,FUNC1_mucho,FUNC1_quien,FUNC1_él,FUNC1_así,FUNC1_muy,FUNC1_ante,FUNC1_yo,FUNC1_sí,FUNC1_nada,FUNC1_alguno,FUNC1_poco,FUNC1_tanto,FUNC1_contra,FUNC1_ellos,FUNC1_te,FUNC1_algo,FUNC1_antes,FUNC1_mí,FUNC1_nosotros,FUNC1_donde,FUNC1_durante,FUNC1_cual,FUNC1_estado,FUNC1_tu,FUNC1_ir,FUNC1_suyo,FUNC1_estados,FUNC1_1,FUNC1_tú,FUNC1_mío,FUNC1_sus,FUNC1_era,FUNC1_ti,FUNC1_es,FUNC1_la,FUNC1_eso,FUNC1_estoy,FUNC1_las,FUNC1_vuestro,FUNC1_ha,FUNC1_hay,FUNC1_tiene,FUNC1_los,FUNC1_miar,FUNC1_fuera,FUNC1_os,FUNC1_esto,FUNC1_fue
68783,22.6285714286,9.14285714286,5.94285714286,5.71428571429,6.17142857143,3.88571428571,4.8,4.34285714286,3.08571428571,2.97142857143,2.97142857143,0.685714285714,2.05714285714,2.05714285714,3.42857142857,1.48571428571,0.914285714286,0.571428571429,0.685714285714,0.8,1.37142857143,2.05714285714,1.02857142857,0.342857142857,0,0.571428571429,0.914285714286,0.228571428571,0.914285714286,0.571428571429,0.571428571429,0.114285714286,0.8,0.685714285714,0,0.228571428571,0.342857142857,0.114285714286,0.457142857143,0.457142857143,0.342857142857,0.114285714286,0.228571428571,0.342857142857,0.114285714286,0.228571428571,0,0.342857142857,0,0,0.228571428571,0.114285714286,0,0.228571428571,0,0,0.114285714286,0.114285714286,0.457142857143,0,0,0,0.114285714286,0.228571428571,0,0,0,0.228571428571,0.114285714286,0,0,0.114285714286,0,0,0,0.114285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68785,16,12.2352941176,5.64705882353,5.88235294118,8,6.11764705882,4.47058823529,4.23529411765,2.35294117647,2.11764705882,3.52941176471,2.82352941176,1.88235294118,1.64705882353,1.88235294118,1.64705882353,2.58823529412,1.17647058824,1.17647058824,0.470588235294,0.470588235294,0.470588235294,0.470588235294,0.470588235294,0.235294117647,0.235294117647,0.470588235294,0,0.235294117647,0.235294117647,1.17647058824,0.470588235294,0.941176470588,1.17647058824,0,0,0.235294117647,0.470588235294,0,0.705882352941,0.705882352941,0.235294117647,0.705882352941,0.235294117647,0.470588235294,0,0,0,0,0.235294117647,0,0,0.470588235294,0,0,0.705882352941,0,0.941176470588,0,0,0,0.470588235294,0,0.470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68787,25.1445298207,12.8796194658,5.96414196853,8.04244420051,5.59824368825,5.16648371753,3.46871569704,2.78082693011,2.86864251738,1.99048664471,1.68313208928,1.66117819246,1.66849615807,1.58799853641,1.23673618734,1.48554701793,0.885473838273,0.958653494329,0.812294182217,1.12696670326,0.5268935236,0.658616904501,1.00256128796,0.804976216612,0.534211489206,0.343944383461,0.739114526162,0.1317233809,0.321990486645,0.2634467618,0.636663007684,0.453713867545,0.32930845225,0.446395901939,0.643980973289,0.204903036956,0.285400658617,0.482985729967,0.234174899378,0.204903036956,0.226856933772,0.0951335528723,0.358580314673,0.226856933772,0.234174899378,0.182949140139,0.117087449689,0.182949140139,0.0585437248445,0.146359312111,0.139041346506,0.102451518478,0.0512257592389,0.0585437248445,0.0512257592389,0.175631174533,0.160995243322,0.0146359312111,0.0439077936334,0.0658616904501,0.0219538968167,0.160995243322,0.19758507135,0.0658616904501,0.19758507135,0.1317233809,0.0219538968167,0.0658616904501,0.0146359312111,0,0.00731796560556,0,0.0146359312111,0,0,0.00731796560556,0.00731796560556,0.0512257592389,0.00731796560556,0.00731796560556,0.00731796560556,0,0,0,0,0.0146359312111,0,0.0219538968167,0.00731796560556,0.00731796560556,0.00731796560556
68793,15.8240315167,10.3742613263,7.35390676297,4.53053184504,5.25279054498,4.53053184504,3.87393302692,5.3841103086,3.28299409061,2.36375574524,2.95469468155,2.1667760998,1.77281680893,2.75771503611,2.62639527249,1.57583716349,0.722258699934,1.51017728168,0.984898227183,0.59093893631,2.03545633618,1.51017728168,1.050558109,0.328299409061,0.393959290873,1.31319763624,0.853578463559,0.722258699934,0.262639527249,0.328299409061,0.459619172685,0.656598818122,0.919238345371,0.984898227183,0.196979645437,0.262639527249,0.262639527249,0.328299409061,0.0656598818122,0.131319763624,0.393959290873,0.0656598818122,0.196979645437,0.0656598818122,0.393959290873,0.656598818122,0.196979645437,0.393959290873,0.131319763624,0.853578463559,0.131319763624,0.459619172685,0.196979645437,0.131319763624,0.131319763624,0.196979645437,0.196979645437,0.0656598818122,0.262639527249,0,0.262639527249,0,0.131319763624,0,0.0656598818122,0,0.131319763624,0.131319763624,0.0656598818122,0,0.131319763624,0.131319763624,0.131319763624,0,0,0.0656598818122,0.0656598818122,0,0,0,0,0,0,0,0,0,0.0656598818122,0,0,0,0
68795,20.1680672269,10.0840336134,7.56302521008,4.70588235294,5.3781512605,3.86554621849,4.20168067227,3.86554621849,2.01680672269,1.8487394958,3.6974789916,2.85714285714,1.8487394958,1.34453781513,1.17647058824,1.34453781513,1.34453781513,2.01680672269,1.17647058824,0.504201680672,1.68067226891,0.336134453782,0.840336134454,1.17647058824,1.17647058824,1.00840336134,0.840336134454,1.34453781513,0.336134453782,0.672268907563,0.336134453782,0.672268907563,0.840336134454,0.504201680672,0,0.168067226891,0.672268907563,0.672268907563,0.336134453782,0,0.336134453782,0.840336134454,0.168067226891,0.336134453782,0.168067226891,0.168067226891,0,0.336134453782,0.168067226891,0.504201680672,0.168067226891,0,0,0.504201680672,0.168067226891,0.168067226891,0.336134453782,0,0,0.168067226891,0.336134453782,0,0.168067226891,0,0,0,0,0,0.168067226891,0,0,0,0.168067226891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68797,20.8986415883,12.539184953,4.91118077325,9.09090909091,5.5381400209,6.16509926855,3.55276907001,3.86624869383,2.5078369906,5.95611285266,1.46290491118,1.46290491118,2.92580982236,1.77638453501,1.77638453501,1.35841170324,0.626959247649,1.14942528736,0.835945663532,0.73145245559,0,1.35841170324,0.522466039707,0.626959247649,0.417972831766,0.104493207941,0.313479623824,0,0.104493207941,0.313479623824,0.73145245559,0.626959247649,0.626959247649,0.208986415883,0.104493207941,0.208986415883,0.313479623824,0.104493207941,0.208986415883,0.104493207941,0.208986415883,0.208986415883,0.104493207941,0.208986415883,0.417972831766,0.313479623824,0.104493207941,0.208986415883,0,0.104493207941,0,0,0.104493207941,0,0.104493207941,0.104493207941,0.104493207941,0.104493207941,0.104493207941,0.208986415883,0.104493207941,0,0,0,0.104493207941,0.104493207941,0.313479623824,0.104493207941,0.104493207941,0,0,0.104493207941,0,0,0,0.104493207941,0,0.104493207941,0,0,0,0,0,0,0,0,0,0,0,0,0
68799,14.9456521739,12.5,5.57065217391,8.5597826087,7.74456521739,4.07608695652,3.53260869565,3.39673913043,2.3097826087,3.125,2.17391304348,1.35869565217,0.815217391304,2.3097826087,2.17391304348,1.22282608696,0.815217391304,1.76630434783,0.815217391304,0.951086956522,0.54347826087,2.3097826087,0.54347826087,0.815217391304,0.54347826087,0.815217391304,0.951086956522,0.679347826087,0.135869565217,0.271739130435,0.135869565217,0.815217391304,1.08695652174,0.54347826087,0.135869565217,0.679347826087,0.679347826087,0,0.951086956522,0.54347826087,0,0.271739130435,0.951086956522,0.679347826087,0.135869565217,0.407608695652,0.679347826087,0.271739130435,0,0.679347826087,0.135869565217,0.135869565217,0.135869565217,0.54347826087,0.135869565217,0,0.135869565217,0.54347826087,0,0,0.135869565217,0,0.135869565217,0.271739130435,0.135869565217,0,0,0,0,0,0,0.135869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68801,22.2222222222,8.64197530864,7.40740740741,7.40740740741,8.64197530864,3.7037037037,2.46913580247,1.23456790123,1.23456790123,1.23456790123,1.23456790123,3.7037037037,6.17283950617,2.46913580247,4.93827160494,0,1.23456790123,0,0,2.46913580247,2.46913580247,0,1.23456790123,0,1.23456790123,0,0,6.17283950617,1.23456790123,1.23456790123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68803,26.2032085561,14.5148968678,7.10466004584,7.18105423988,4.58365164248,6.03514132926,4.8128342246,3.43773873186,3.66692131398,2.36822001528,1.2987012987,0.840336134454,1.06951871658,0.993124522536,0.61115355233,0.993124522536,1.22230710466,1.06951871658,1.06951871658,0.534759358289,0,0.152788388083,0.229182582124,1.06951871658,0.687547746371,0.229182582124,0.687547746371,0,0.305576776165,0.152788388083,0.993124522536,0.381970970206,0.458365164248,0.61115355233,0.0763941940413,0.305576776165,0.534759358289,0.152788388083,0,0,0.305576776165,0.229182582124,0.916730328495,0.229182582124,0.229182582124,0.152788388083,0.152788388083,0.0763941940413,0,0,0.0763941940413,0,0.152788388083,0,0,0,0.0763941940413,0,0.229182582124,0.0763941940413,0,0,0.152788388083,0.0763941940413,0.0763941940413,0,0,0,0.0763941940413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0763941940413,0,0,0,0,0
68805,28.5641025641,13.5384615385,6.46153846154,7.48717948718,5.07692307692,5.02564102564,4,3.02564102564,2.15384615385,2.51282051282,1.02564102564,1.07692307692,1.48717948718,2.15384615385,1.48717948718,1.74358974359,0.666666666667,1.17948717949,0.564102564103,0.564102564103,0,0.820512820513,0.410256410256,0.461538461538,1.28205128205,0.358974358974,0.717948717949,0.0512820512821,0.307692307692,0.102564102564,0.769230769231,0.307692307692,0.102564102564,0.153846153846,0.25641025641,0.461538461538,0.153846153846,0.102564102564,0.205128205128,0.102564102564,0.666666666667,0.0512820512821,0.358974358974,0.153846153846,0.307692307692,0.0512820512821,0.153846153846,0.153846153846,0.102564102564,0,0,0,0.102564102564,0.102564102564,0.205128205128,0.0512820512821,0.205128205128,0,0,0.205128205128,0,0,0,0,0.102564102564,0.0512820512821,0,0,0,0,0.0512820512821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
